disksectors	60
timequantum	10000
diskrpm		7200
5094000	0	admit
324000	9	write	15
329000	9	read	40
335000	9	read	50
336000	9	read	41
419000	9	write	2
447000	9	read	1
450000	9	write	50
487000	9	read	9
497000	9	write	30
514000	9	write	39
426000	10	write	34
432000	10	read	7
452000	10	write	15
18881000	12	admit
539000	10	write	16
557000	10	read	24
559000	10	read	56
596000	10	read	24
609000	10	read	51
615000	10	read	19
668000	10	write	11
145000	12	write	50
690000	10	write	11
607000	11	write	24
632000	11	write	22
633000	11	read	15
686000	11	write	20
703000	11	write	45
748000	11	write	38
751000	11	read	38
752000	11	read	46
788000	11	write	58
824000	11	write	30
832000	11	write	47
855000	11	read	26
859000	11	read	29
865000	11	read	14
884000	11	write	9
896000	11	write	27
532000	12	read	43
1049000	11	write	48
687000	12	read	38
1094000	11	read	59
1118000	11	write	59
1139000	11	write	28
765000	12	read	49
1352000	12	exit
20906000	13	admit
3000	13	write	1
99000	13	write	26
109000	13	write	56
118000	13	read	41
168000	13	write	23
215000	13	write	29
230000	13	write	20
241000	13	read	14
276000	13	read	7
302000	13	write	10
313000	13	write	14
349000	13	write	58
389000	13	write	59
397000	13	read	13
410000	13	read	33
424000	13	read	6
443000	13	read	15
458000	13	read	13
21409000	14	admit
512000	13	read	54
534000	13	read	40
579000	13	write	33
583000	13	read	53
598000	13	write	32
601000	13	read	30
623000	13	read	28
21545000	15	admit
669000	13	write	22
701000	13	read	3
210000	14	read	46
75000	15	read	35
135000	15	write	25
4127000	8	exit
155000	15	write	33
168000	15	write	17
198000	15	write	21
282000	15	write	14
292000	15	write	47
329000	15	write	37
988000	13	exit
350000	15	write	21
1407000	14	exit
22864000	16	admit
14000	16	read	21
22882000	17	admit
20000	16	read	1
4716000	9	exit
105000	16	read	25
114000	16	write	45
133000	16	read	22
142000	16	write	47
149000	16	write	48
165000	16	write	24
186000	16	read	42
188000	16	read	0
211000	16	write	41
232000	16	read	5
233000	16	write	41
241000	16	read	11
248000	16	write	29
255000	16	write	27
260000	16	read	3
263000	16	read	28
305000	16	read	6
332000	16	write	9
4944000	10	exit
466000	16	write	9
511000	16	write	27
518000	16	read	18
530000	16	read	12
556000	16	write	48
559000	17	write	33
610000	17	read	14
618000	17	read	55
634000	17	write	36
652000	17	write	37
5047000	11	exit
2050000	15	exit
721000	17	write	55
748000	17	write	41
804000	17	read	18
815000	17	write	44
839000	17	read	32
862000	17	read	38
869000	17	write	46
887000	17	write	5
888000	17	write	30
23784000	18	admit
945000	17	read	9
959000	17	write	29
971000	17	read	52
983000	17	read	58
1001000	17	read	0
1038000	17	read	51
1065000	17	write	13
1073000	17	write	43
1099000	17	write	10
1118000	17	read	33
1150000	17	write	47
1154000	17	read	49
288000	18	write	29
24216000	19	admit
23000	19	read	21
43000	19	write	24
77000	19	write	40
1600000	16	exit
1802000	17	exit
1315000	18	exit
984000	19	exit
