timequantum	18000
disksectors	24
diskrpm		4200
310000	0	admit
313000	1	admit
11846000	10	admit
46000	10	write	9
49000	10	read	9
54000	10	write	17
66000	10	write	7
78000	10	read	9
89000	10	write	5
126000	10	write	17
140000	10	read	13
159000	10	write	19
179000	10	read	19
229000	10	read	23
236000	10	read	23
270000	10	write	14
272000	10	read	19
301000	10	write	17
337000	10	read	4
380000	10	read	13
385000	10	write	17
390000	10	read	14
424000	10	read	11
436000	10	read	15
475000	10	read	11
477000	10	write	8
529000	10	read	2
537000	10	write	1
539000	10	read	3
541000	10	read	1
12547000	11	admit
2000	11	read	23
36000	11	write	11
80000	11	write	6
89000	11	read	16
150000	11	write	1
166000	11	write	21
171000	11	read	9
228000	11	read	12
240000	11	write	19
241000	11	write	14
262000	11	read	18
266000	11	read	22
287000	11	write	19
293000	11	read	5
296000	11	read	5
359000	11	read	17
363000	11	read	17
367000	11	read	7
414000	11	write	8
426000	11	write	20
429000	11	write	17
470000	11	read	14
13434000	12	admit
17000	12	write	17
28000	12	write	20
44000	12	write	12
93000	12	write	13
107000	12	write	14
126000	12	read	17
127000	12	write	11
133000	12	write	0
157000	12	write	11
10408000	5	exit
238000	12	write	20
283000	12	read	16
13928000	13	admit
10000	13	write	4
27000	13	read	15
37000	13	write	5
55000	13	read	0
13987000	14	admit
70000	13	read	12
72000	13	write	15
106000	13	write	12
132000	13	read	22
163000	13	write	5
10955000	4	exit
203000	14	write	23
217000	14	read	18
251000	14	write	4
258000	14	read	13
273000	14	write	3
278000	14	read	4
300000	14	read	1
318000	14	read	4
339000	14	write	2
340000	14	read	14
343000	14	read	4
347000	14	read	10
367000	14	read	23
9538000	6	exit
15213000	15	admit
2000	15	read	19
3000	15	write	7
64000	15	write	4
126000	15	write	12
146000	15	read	16
167000	15	write	19
5966000	9	exit
4496000	10	exit
4705000	11	exit
3945000	12	exit
17473000	16	admit
132000	16	write	14
141000	16	read	22
147000	16	write	17
148000	16	write	0
159000	16	read	1
182000	16	read	0
199000	16	read	5
232000	16	write	15
236000	16	read	7
343000	16	exit
4010000	13	exit
4390000	14	exit
3608000	15	exit
19821000	17	admit
65000	17	write	11
72000	17	write	12
88000	17	read	12
101000	17	read	1
19938000	18	admit
127000	17	write	22
202000	17	read	8
218000	17	read	5
227000	17	read	18
255000	17	read	1
260000	17	read	5
278000	17	write	1
284000	17	write	13
285000	17	write	23
316000	17	read	18
322000	17	read	19
327000	17	read	12
358000	17	write	12
370000	17	read	7
440000	17	write	6
449000	17	read	23
337000	18	read	11
371000	18	read	12
398000	18	write	19
416000	18	read	3
422000	18	read	19
426000	18	write	21
478000	18	read	4
605000	17	exit
494000	18	write	1
503000	18	write	2
511000	18	read	7
522000	18	read	16
575000	18	read	22
591000	18	write	12
631000	18	write	22
644000	18	write	19
651000	18	exit
22201000	19	admit
4000	19	read	19
24000	19	read	13
78000	19	write	19
22280000	20	admit
86000	19	write	0
100000	19	read	7
101000	19	write	20
113000	19	read	0
124000	19	write	10
49000	20	read	22
67000	20	read	7
88000	20	write	21
98000	20	write	9
106000	20	write	5
114000	20	write	6
129000	20	write	22
134000	20	write	19
175000	20	write	4
22456000	21	admit
182000	20	read	17
203000	20	write	23
29000	21	write	12
717000	19	exit
1119000	20	exit
23893000	22	admit
10000	22	read	17
40000	22	read	4
58000	22	write	2
73000	22	read	22
96000	22	read	14
105000	22	read	20
114000	22	write	3
162000	22	read	10
200000	22	read	2
261000	22	write	13
265000	22	read	14
286000	22	write	22
297000	22	read	4
303000	22	read	6
328000	22	read	22
330000	22	read	15
335000	22	write	19
338000	22	read	13
383000	22	write	22
25358000	23	admit
96000	23	read	3
120000	23	write	6
123000	23	write	10
162000	23	write	20
168000	23	read	21
178000	23	write	20
184000	23	write	13
204000	23	read	23
25563000	24	admit
15000	24	write	4
252000	23	write	4
256000	23	write	10
273000	23	write	2
288000	23	write	21
307000	23	read	16
25667000	25	admit
337000	23	read	7
343000	23	read	1
362000	23	read	5
369000	23	read	14
385000	23	write	3
391000	23	read	21
393000	23	read	14
428000	23	read	11
3387000	21	exit
486000	23	write	18
502000	23	read	19
541000	23	read	12
562000	23	write	4
25938000	26	admit
595000	23	write	2
348000	25	write	11
377000	25	read	11
420000	25	write	13
427000	25	read	20
436000	25	read	11
461000	25	write	0
563000	25	write	16
594000	25	read	16
600000	25	write	12
617000	25	write	13
630000	25	read	0
640000	25	write	5
693000	25	write	16
705000	25	read	1
708000	25	write	22
454000	26	write	0
726000	25	read	12
747000	25	read	3
774000	25	read	7
26448000	27	admit
796000	25	write	16
806000	25	read	5
830000	25	read	17
831000	25	read	19
858000	25	read	3
885000	25	write	10
889000	25	read	6
657000	26	read	1
2720000	22	exit
678000	26	read	20
708000	26	read	3
789000	26	write	10
795000	26	write	8
797000	26	write	23
808000	26	write	13
898000	26	exit
400000	27	read	16
406000	27	read	17
408000	27	write	15
426000	27	read	2
473000	27	write	13
479000	27	write	22
505000	27	write	22
510000	27	write	16
511000	27	write	16
535000	27	read	21
579000	27	write	0
586000	27	write	13
606000	27	read	19
623000	27	read	14
658000	27	read	12
695000	27	read	19
710000	27	write	6
725000	27	read	10
733000	27	read	11
1880000	23	exit
1873000	24	exit
27991000	28	admit
22000	28	read	11
33000	28	read	14
151000	28	write	21
161000	28	write	0
170000	28	write	7
172000	28	read	11
29369000	29	admit
14000	29	read	3
21000	29	write	7
29000	29	read	8
39000	29	write	18
57000	29	write	4
76000	29	read	17
77000	29	write	16
111000	29	read	17
119000	29	read	23
170000	29	read	20
177000	29	write	22
190000	29	write	7
203000	29	read	18
238000	29	read	15
259000	29	write	0
270000	29	read	2
300000	29	write	12
327000	29	read	15
5224000	25	exit
5642000	27	exit
4301000	28	exit
3666000	29	exit
