disksectors	60
diskrpm		5400
timequantum	10000
296000	0	admit
11616000	10	admit
397000	9	read	16
435000	9	read	14
448000	9	write	13
85000	10	write	33
521000	9	write	16
135000	10	write	57
532000	9	write	48
562000	9	write	4
565000	9	write	39
570000	9	write	21
622000	9	write	31
293000	10	read	4
688000	9	write	16
695000	9	write	14
361000	10	read	7
363000	10	read	46
5521000	4	exit
14475000	11	admit
37000	11	read	18
46000	11	read	9
49000	11	write	29
73000	11	write	45
79000	11	read	12
88000	11	write	58
99000	11	write	55
125000	11	write	43
200000	11	write	51
203000	11	read	49
210000	11	write	53
216000	11	read	26
241000	11	read	29
242000	11	write	50
267000	11	write	18
337000	11	read	48
360000	11	write	21
4713000	6	exit
4376000	7	exit
5207000	8	exit
4843000	9	exit
16569000	12	admit
27000	12	read	50
41000	12	write	25
16638000	13	admit
95000	12	read	57
100000	12	write	44
113000	12	write	6
114000	12	read	29
140000	12	write	27
155000	12	read	47
172000	12	write	23
186000	12	write	16
122000	13	write	52
135000	13	write	14
139000	13	read	12
141000	13	read	27
142000	13	read	6
155000	13	read	46
180000	13	read	9
185000	13	read	13
221000	13	read	16
226000	13	write	54
229000	13	read	1
244000	13	write	41
17191000	14	admit
17313000	15	admit
24000	15	read	13
25000	15	write	30
42000	15	read	8
102000	15	read	34
134000	15	write	58
139000	15	write	49
140000	15	write	42
176000	15	read	7
1149000	13	exit
18477000	16	admit
2000	16	read	2
12000	16	write	5
15000	16	write	55
46000	16	read	18
58000	16	write	40
66000	16	read	21
74000	16	read	14
110000	16	read	5
166000	16	read	24
167000	16	write	0
169000	16	write	26
214000	16	write	41
233000	16	write	41
18838000	17	admit
15000	17	write	25
20000	17	read	27
37000	17	read	18
7260000	10	exit
53000	17	write	52
62000	17	write	36
85000	17	read	40
94000	17	read	6
101000	17	write	45
104000	17	read	12
4736000	11	exit
3278000	12	exit
3400000	14	exit
21633000	18	admit
3000	18	write	28
24000	18	write	11
46000	18	read	55
54000	18	read	4
118000	18	read	14
127000	18	read	25
225000	18	write	43
235000	18	write	7
252000	18	read	48
306000	18	write	46
325000	18	read	38
337000	18	read	22
342000	18	write	3
346000	18	write	47
357000	18	read	28
387000	18	read	16
22046000	19	admit
428000	18	read	52
457000	18	read	4
49000	19	write	8
489000	18	write	42
103000	19	read	19
519000	18	read	9
542000	18	read	50
544000	18	write	20
157000	19	read	15
163000	19	write	41
208000	19	read	24
221000	19	write	15
228000	19	write	9
254000	19	read	5
297000	19	read	49
298000	19	read	56
307000	19	read	7
309000	19	read	50
352000	19	write	22
377000	19	read	30
385000	19	write	41
413000	19	read	56
466000	19	read	48
468000	19	write	39
492000	19	read	36
504000	19	write	52
507000	19	read	47
510000	19	write	3
536000	19	write	59
584000	19	write	10
633000	19	read	39
5762000	15	exit
23774000	20	admit
5000	20	write	47
121000	20	read	43
132000	20	write	55
134000	20	write	14
162000	20	write	18
184000	20	write	1
188000	20	read	37
195000	20	write	37
272000	20	write	12
274000	20	read	46
287000	20	read	8
380000	20	read	5
382000	20	read	29
392000	20	read	42
416000	20	read	12
418000	20	read	28
445000	20	read	45
459000	20	write	44
6691000	16	exit
25335000	21	admit
2000	21	write	17
14000	21	write	7
19000	21	read	47
47000	21	read	1
51000	21	read	13
63000	21	read	2
79000	21	write	10
97000	21	write	35
133000	21	write	42
187000	21	read	34
201000	21	read	38
213000	21	write	54
253000	21	read	49
254000	21	read	45
257000	21	write	45
264000	21	write	43
306000	21	read	50
347000	21	write	13
355000	21	read	27
361000	21	write	45
429000	21	write	57
459000	21	read	58
475000	21	write	28
25838000	22	admit
25858000	23	admit
25930000	24	admit
624000	21	read	0
636000	21	write	30
653000	21	read	21
657000	21	write	41
196000	22	read	57
199000	22	read	44
217000	22	write	6
239000	22	read	28
253000	22	write	16
170000	24	read	16
265000	22	read	51
306000	22	read	13
352000	22	read	24
372000	22	write	49
375000	22	write	22
372000	23	write	42
436000	22	write	13
451000	22	read	29
493000	22	write	32
498000	22	write	53
507000	22	exit
523000	23	read	21
559000	23	read	40
561000	23	write	6
589000	23	write	5
631000	23	write	18
649000	23	write	59
650000	23	read	9
657000	23	write	24
664000	23	read	45
666000	23	write	44
678000	23	write	53
698000	23	write	44
756000	23	write	15
764000	23	write	44
765000	23	write	16
795000	23	read	27
728000	24	read	7
752000	24	read	2
753000	24	read	56
757000	24	read	2
766000	24	read	35
863000	24	write	19
864000	24	write	35
889000	24	write	3
916000	24	write	22
918000	24	write	51
1046000	24	write	43
1056000	24	write	37
8197000	17	exit
1109000	24	write	45
1111000	24	read	43
1120000	24	write	29
1134000	24	write	46
1147000	24	write	9
1164000	24	read	22
1210000	24	read	0
1231000	24	write	21
1262000	24	write	58
1267000	24	write	14
1275000	24	write	46
1295000	24	read	41
6004000	18	exit
5613000	19	exit
29101000	25	admit
33000	25	write	1
36000	25	write	49
56000	25	write	42
5458000	20	exit
29889000	26	admit
8000	26	read	44
25000	26	read	14
79000	26	read	7
175000	26	write	15
214000	26	read	18
249000	26	read	20
253000	26	write	39
30160000	27	admit
279000	26	write	26
286000	26	read	9
300000	26	read	35
303000	26	read	40
306000	26	write	53
313000	26	write	10
333000	26	read	29
360000	26	write	53
369000	26	read	6
423000	26	read	22
460000	26	read	15
207000	27	read	20
226000	27	read	52
237000	27	read	27
252000	27	read	36
295000	27	write	57
310000	27	write	30
388000	27	write	34
389000	27	read	28
418000	27	read	0
434000	27	write	25
463000	27	read	40
491000	27	read	45
496000	27	read	49
514000	27	read	28
536000	27	write	50
5433000	21	exit
32091000	28	admit
3000	28	write	44
10000	28	write	11
24000	28	write	41
30000	28	read	37
37000	28	read	10
45000	28	read	10
46000	28	write	58
144000	28	read	24
166000	28	read	0
173000	28	write	27
183000	28	read	45
32384000	29	admit
8390000	23	exit
8595000	24	exit
35428000	30	admit
4000	30	read	21
22000	30	read	7
33000	30	write	55
66000	30	read	56
91000	30	write	34
98000	30	read	15
127000	30	write	21
184000	30	write	22
213000	30	read	3
221000	30	write	48
233000	30	read	43
269000	30	write	16
313000	30	write	8
323000	30	read	47
327000	30	write	25
336000	30	write	0
366000	30	write	11
385000	30	write	51
36391000	31	admit
7295000	25	exit
11000	31	read	6
19000	31	write	32
56000	31	write	10
90000	31	read	47
161000	31	read	10
245000	31	write	57
255000	31	write	2
300000	31	write	36
304000	31	read	26
37156000	32	admit
12000	32	write	55
18000	32	read	45
52000	32	write	41
7336000	26	exit
144000	32	write	0
153000	32	read	35
182000	32	write	41
4982000	29	exit
212000	32	write	51
235000	32	read	29
269000	32	read	6
304000	32	write	31
320000	32	write	52
325000	32	read	51
335000	32	read	7
340000	32	read	43
344000	32	write	48
371000	32	write	35
373000	32	write	45
386000	32	write	13
388000	32	read	56
426000	32	read	44
434000	32	read	15
445000	32	write	46
37967000	33	admit
7000	33	write	19
7880000	27	exit
89000	33	write	27
112000	33	write	58
132000	33	read	51
134000	33	read	4
140000	33	write	19
163000	33	write	50
176000	33	read	21
6578000	28	exit
3341000	30	exit
2552000	31	exit
38986000	34	admit
3000	34	read	33
7000	34	read	33
14000	34	write	4
53000	34	read	53
65000	34	write	13
75000	34	read	57
1913000	32	exit
88000	34	write	14
112000	34	read	17
114000	34	read	53
175000	34	read	39
196000	34	write	9
222000	34	read	36
227000	34	read	38
273000	34	read	16
295000	34	read	18
318000	34	write	35
366000	34	read	53
387000	34	read	58
1837000	33	exit
937000	34	exit
40108000	35	admit
1000	35	read	19
9000	35	read	41
14000	35	write	26
21000	35	read	7
24000	35	read	16
36000	35	read	35
57000	35	read	29
65000	35	write	1
193000	35	read	59
195000	35	read	54
201000	35	write	58
266000	35	read	20
268000	35	write	22
273000	35	read	11
281000	35	read	9
323000	35	write	25
40437000	36	admit
363000	35	write	43
382000	35	write	46
388000	35	read	26
449000	35	read	40
469000	35	read	6
472000	35	write	41
175000	36	write	9
40622000	37	admit
213000	36	write	15
228000	36	read	59
242000	36	write	43
265000	36	write	23
304000	36	read	14
322000	36	read	48
363000	36	write	20
40807000	38	admit
392000	36	read	12
429000	36	read	12
93000	38	write	51
105000	38	read	25
40927000	39	admit
516000	36	write	27
531000	36	write	6
543000	36	read	1
578000	36	write	9
586000	36	read	1
601000	36	write	10
142000	39	read	49
681000	36	write	51
719000	36	write	38
762000	36	write	26
786000	36	write	48
809000	36	write	34
834000	36	write	53
913000	36	read	3
920000	36	write	0
937000	36	read	38
754000	37	write	26
787000	37	read	26
794000	37	write	18
822000	37	read	49
901000	37	write	38
909000	37	read	28
939000	37	read	20
952000	37	read	17
1066000	37	write	45
1092000	37	read	55
1158000	37	read	46
1159000	37	read	49
1204000	37	write	33
1050000	38	read	32
1060000	38	write	21
1078000	38	write	5
1084000	38	read	25
1085000	38	read	2
1099000	38	write	2
1118000	38	read	15
1124000	38	read	32
1145000	38	write	48
1034000	39	read	7
1158000	38	read	14
1200000	38	read	44
1208000	38	read	9
1235000	38	read	45
1138000	39	read	0
1278000	38	read	9
1310000	38	write	17
1195000	39	write	9
1231000	39	read	42
1243000	39	read	46
1266000	39	read	15
1270000	39	read	34
1271000	39	write	46
1309000	39	read	18
1325000	39	read	44
1327000	39	write	20
2154000	35	exit
1353000	39	write	35
1360000	39	read	29
1388000	39	write	47
1399000	39	read	9
1469000	39	read	24
1497000	39	write	57
1555000	39	read	57
1562000	39	read	44
1597000	39	write	50
1603000	39	read	54
1691000	39	read	55
1693000	39	write	49
1694000	39	read	24
1772000	39	write	51
1789000	39	read	41
1795000	39	write	46
1799000	39	write	2
2359000	36	exit
3041000	37	exit
3174000	38	exit
4090000	39	exit
